AC,Account,Manager,Date,CRBM
Developed,KSBF10010002,Adage,2017-04-30,0.010271
Developed,KSBF10010002,Adage,2017-05-31,0.014072
Developed,KSBF10010002,Adage,2017-06-30,0.006241
Developed,KSBF10010002,Adage,2017-07-31,0.020562
Developed,KSBF10010002,Adage,2017-08-31,0.003061
Developed,KSBF10010002,Adage,2017-09-30,0.020628
Developed,KSBF10010002,Adage,2017-10-31,0.023334
Developed,KSBF10010002,Adage,2017-11-30,0.030671
Developed,KSBF10010002,Adage,2017-12-31,0.011047
Developed,KSBF10010002,Adage,2018-01-31,0.057232
Developed,KSBF10010002,Adage,2018-02-28,-0.03686
Developed,KSBF10010002,Adage,2018-03-31,-0.025412
Developed,KSBF10010002,Adage,2018-04-30,0.003836
Developed,KSBF10010002,Adage,2018-05-31,0.024077
Developed,KSBF10010002,Adage,2018-06-30,0.006155
Developed,KSBF10010002,Adage,2018-07-31,0.037215
Developed,KSBF10010002,Adage,2018-08-31,0.032583
Developed,KSBF10010002,Adage,2018-09-30,0.005692
Developed,KSBF10010002,Adage,2018-10-31,-0.068352
Developed,KSBF10010002,Adage,2018-11-30,0.020375
Developed,KSBF10010002,Adage,2018-12-31,-0.090332
Developed,KSBF10010002,Adage,2019-01-31,0.080134
Developed,KSBF10010002,Adage,2019-02-28,0.032108
Developed,KSBF10010002,Adage,2019-03-31,0.019432
Developed,KSBF10010002,Adage,2019-04-30,0.040489
Developed,KSBF10010002,Adage,2019-05-31,-0.063549
Developed,KSBF10010002,Adage,2019-06-30,0.070477
Developed,KSBF10010002,Adage,2019-07-31,0.014373
Developed,KSBF10010002,Adage,2019-08-31,-0.01584
Developed,KSBF10010002,Adage,2019-09-30,0.018711
Developed,KSBF10010002,Adage,2019-10-31,0.021657
Developed,KSBF10010002,Adage,2019-11-30,0.0363
Developed,KSBF10010002,Adage,2019-12-31,0.030115
Developed,KSBF10010002,Adage,2020-01-31,-0.000439
Developed,KSBF10010002,Adage,2020-02-29,-0.082321
Developed,KSBF10010002,Adage,2020-03-31,-0.123512
Developed,KSBF10010002,Adage,2020-04-30,0.128194
Developed,KSBF10010002,Adage,2020-05-31,0.04763
Developed,KSBF10010002,Adage,2020-06-30,0.019887
Developed,KSBF10010002,Adage,2020-07-31,0.056382
Developed,KSBF10010002,Adage,2020-08-31,0.071883
Developed,KSBF10010002,Adage,2020-09-30,-0.037997
Developed,KSBF10010002,Adage,2020-10-31,-0.026594
Developed,KSBF10010002,Adage,2020-11-30,0.109462
Developed,KSBF10010002,Adage,2020-12-31,0.038411
Developed,KSBF10010002,Adage,2021-01-31,-0.010177
Developed,KSBF20020002,AKO,1995-01-31,-0.022999
Developed,KSBF20020002,AKO,1995-02-28,0.005353
Developed,KSBF20020002,AKO,1995-03-31,-0.004748
Developed,KSBF20020002,AKO,1995-04-30,0.040717
Developed,KSBF20020002,AKO,1995-05-31,0.030229
Developed,KSBF20020002,AKO,1995-06-30,-0.004491
Developed,KSBF20020002,AKO,1995-07-31,0.041707
Developed,KSBF20020002,AKO,1995-08-31,0.00555
Developed,KSBF20020002,AKO,1995-09-30,0.002188
Developed,KSBF20020002,AKO,1995-10-31,-0.008994
Developed,KSBF20020002,AKO,1995-11-30,0.029775
Developed,KSBF20020002,AKO,1995-12-31,0.017173
Developed,KSBF20020002,AKO,1996-01-31,0.038839
Developed,KSBF20020002,AKO,1996-02-29,0.002177
Developed,KSBF20020002,AKO,1996-03-31,0.009372
Developed,KSBF20020002,AKO,1996-04-30,0.034179
Developed,KSBF20020002,AKO,1996-05-31,-0.00348
Developed,KSBF20020002,AKO,1996-06-30,0.004591
Developed,KSBF20020002,AKO,1996-07-31,-0.035542
Developed,KSBF20020002,AKO,1996-08-31,0.029842
Developed,KSBF20020002,AKO,1996-09-30,0.038407
Developed,KSBF20020002,AKO,1996-10-31,0.004075
Developed,KSBF20020002,AKO,1996-11-30,0.050313
Developed,KSBF20020002,AKO,1996-12-31,0.017473
Developed,KSBF20020002,AKO,1997-01-31,0.062461
Developed,KSBF20020002,AKO,1997-02-28,0.027564
Developed,KSBF20020002,AKO,1997-03-31,0.019753
Developed,KSBF20020002,AKO,1997-04-30,0.022376
Developed,KSBF20020002,AKO,1997-05-31,0.028288
Developed,KSBF20020002,AKO,1997-06-30,0.054673
Developed,KSBF20020002,AKO,1997-07-31,0.085063
Developed,KSBF20020002,AKO,1997-08-31,-0.067171
Developed,KSBF20020002,AKO,1997-09-30,0.078448
Developed,KSBF20020002,AKO,1997-10-31,-0.080868
Developed,KSBF20020002,AKO,1997-11-30,0.029475
Developed,KSBF20020002,AKO,1997-12-31,0.058167
Developed,KSBF20020002,AKO,1998-01-31,0.05367
Developed,KSBF20020002,AKO,1998-02-28,0.072258
Developed,KSBF20020002,AKO,1998-03-31,0.073133
Developed,KSBF20020002,AKO,1998-04-30,-0.002128
Developed,KSBF20020002,AKO,1998-05-31,0.025323
Developed,KSBF20020002,AKO,1998-06-30,0.0134
Developed,KSBF20020002,AKO,1998-07-31,0.014518
Developed,KSBF20020002,AKO,1998-08-31,-0.137546
Developed,KSBF20020002,AKO,1998-09-30,-0.075145
Developed,KSBF20020002,AKO,1998-10-31,0.07374
Developed,KSBF20020002,AKO,1998-11-30,0.076339
Developed,KSBF20020002,AKO,1998-12-31,0.029602
Developed,KSBF20020002,AKO,1999-01-31,0.021346
Developed,KSBF20020002,AKO,1999-02-28,0.004997
Developed,KSBF20020002,AKO,1999-03-31,0.017996
Developed,KSBF20020002,AKO,1999-04-30,0.046112
Developed,KSBF20020002,AKO,1999-05-31,-0.040144
Developed,KSBF20020002,AKO,1999-06-30,0.028661
Developed,KSBF20020002,AKO,1999-07-31,-0.023609
Developed,KSBF20020002,AKO,1999-08-31,0.021357
Developed,KSBF20020002,AKO,1999-09-30,-0.019433
Developed,KSBF20020002,AKO,1999-10-31,0.04712
Developed,KSBF20020002,AKO,1999-11-30,0.070578
Developed,KSBF20020002,AKO,1999-12-31,0.103145
Developed,KSBF20020002,AKO,2000-01-31,-0.055762
Developed,KSBF20020002,AKO,2000-02-29,0.069978
Developed,KSBF20020002,AKO,2000-03-31,0.016893
Developed,KSBF20020002,AKO,2000-04-30,-0.010012
Developed,KSBF20020002,AKO,2000-05-31,-0.008849
Developed,KSBF20020002,AKO,2000-06-30,-0.007897
Developed,KSBF20020002,AKO,2000-07-31,0.007226
Developed,KSBF20020002,AKO,2000-08-31,0.02782
Developed,KSBF20020002,AKO,2000-09-30,-0.053165
Developed,KSBF20020002,AKO,2000-10-31,0.021178
Developed,KSBF20020002,AKO,2000-11-30,-0.054612
Developed,KSBF20020002,AKO,2000-12-31,-0.003278
Developed,KSBF20020002,AKO,2001-01-31,0.015145
Developed,KSBF20020002,AKO,2001-02-28,-0.083212
Developed,KSBF20020002,AKO,2001-03-31,-0.047584
Developed,KSBF20020002,AKO,2001-04-30,0.068374
