Date,SBMMTB3 Index,SPX Index,NDDUWI Index,M1WO000G Index,MLCLEUR Index,RAG Index,RAY Index,CCMP Index,MIMUEURN Index,NDDUE15 Index,NDUGE15 Index,SPBSMIT Index,TPX Index,RGUSHSBT Index,RU30VATR Index,LG30TRUU Index,LBUSTRUU Index,SP5NINFT Index,SP5NINDU Index,LG57TRUU Index,S5COND Index,S5CONS Index,MXWD Index,MXCN Index,RGUSH Index,FTR1GRCH Index,M1FMASN Index,MBCN1A Index,R1FqF Index,H0A0 Index,SPLGAL Index,SPUHYBD Index,MXMS Index,LD19TRUU Index,MXEFSC Index,MXEA Index,NSELMTR Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/31/1996,0.004382,0.027564,0.006783,0.002975,0.004075,0.001018,0.018246,-0.004297,0.023994,0.023216,0.025731,0,-0.047303,-0.13495,0.035819,0.00352,0.022151,0,0,0,0.008856,0.016195,0.003291,-0.026627,-0.013469,0.023476,0,0.0175135,0,0,0,0.001966,-0.038571,0,-0.020967,-0.010952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/30/1996,0.004197,0.075581,0.055841,0.050685,0.050313,0.07042,0.070541,0.058393,0.045008,0.050674,0.04683,0,0.007939,-0.033014,0.070588,0.028801,0.017129,0,0,0,0.047947,0.055303,0.053206,0.115644,0.067206,0.087345,0,0.04302815,0,0,0,0.009652,0.027552,0,0.001037,0.039273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/1996,0.004292,-0.019834,-0.016203,-0.019636,0.017473,-0.016011,-0.01204,-0.000991,0.02333,0.019371,0.017111,0,-0.058591,0.017506,-0.008175,0.007306,-0.009298,0,0,0,-0.041228,0.005892,-0.01483,0.165823,-0.024866,0.00008,0,0.00931905,0,0,0,0.000301,-0.008515,0,-0.013093,-0.013322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/1997,0.004332,0.062458,0.011864,0.013928,0.062461,0.065691,0.055301,0.068915,0.001222,0.002713,-0.001807,0,-0.066885,0.124304,0.04502,0.020317,0.003062,0,0,0,0.024492,0.059306,0.015992,-0.022207,0.091357,-0.02386,0,0.01363535,0,0,0,0.001023,0.038897,0,0.071365,-0.035835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/1997,0.003913,0.007838,0.011314,0.011016,0.027564,-0.011849,0.001106,-0.051211,0.012356,0.013214,0.00671,0,0.013393,-0.108451,0.01416,0.016514,0.002488,0,0,0,0.031688,0.045289,0.01332,0.029342,0.009569,0.002259,0,0.00846715,0,0,0,0.00815,0.021287,0.003375,0.064122,0.015757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/1997,0.004361,-0.041085,-0.019967,-0.023408,0.019753,-0.05567,-0.04523,-0.066469,0.029874,0.032296,0.032476,0,-0.007817,-0.165715,-0.035034,-0.020959,-0.011082,0,0,0,-0.017879,-0.055077,-0.019506,-0.028863,-0.075884,-0.064762,0,0.00980705,0,0,0,-0.018158,-0.044392,-0.0093,-0.019405,0.005198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/30/1997,0.004256,0.05967,0.032497,0.045896,0.022376,0.059594,0.04926,0.032501,-0.007079,-0.004974,-0.006995,0,0.049471,-0.115921,0.039246,0.018047,0.014969,0,0,0,0.040061,0.078162,0.031915,0.132064,0.064641,0.019722,0,0.0081803,0,0,0,0.002245,-0.024142,0.015779,-0.046036,0.005808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/1997,0.004422,0.06088,0.061541,0.058323,0.028288,0.078443,0.068318,0.111386,0.046158,0.042704,0.035248,0,0.031741,0.214059,0.058216,0.026236,0.009453,0,0,0,0.046842,0.050478,0.060666,-0.011239,0.071898,0.102119,0,0.0382563,0,0,0,0.012979,0.003914,0.009734,-0.010272,0.067196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/1997,0.004205,0.044803,0.049704,0.055081,0.054673,0.039424,0.041582,0.030357,0.044503,0.050031,0.058471,0,0.045147,0.024484,0.043678,0.017345,0.011869,0,0,0,0.034131,0.035779,0.051554,0.022274,0.080824,0.051008,0,0.0368847,0,0,0,0.007083,0.036801,0.011587,0.013445,0.056331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31/1997,0.00431,0.07952,0.045893,0.046214,0.085063,0.084803,0.078412,0.105589,0.035757,0.046862,0.046154,0,-0.006262,0.005179,0.071939,0.035634,0.026967,0,0,0,0.078359,0.038325,0.044924,0.1366,0.021784,0.046603,0,0.042534,0,0,0,0.018959,-0.016498,0.01877,-0.001945,0.016012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/31/1997,0.00431,-0.056051,-0.067053,-0.074443,-0.067171,-0.050332,-0.040571,-0.003825,-0.045567,-0.057137,-0.057995,0,-0.07505,0.015584,-0.03069,-0.00666,-0.00853,0,0,0,-0.034221,-0.09174,-0.070312,0.058946,-0.065436,-0.116673,0,-0.03846205,0,0,0,-0.007339,-0.195509,-0.002362,-0.121796,-0.074738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/1997,0.004243,0.054765,0.054158,0.057537,0.078448,0.052304,0.056714,0.062293,0.086275,0.096974,0.096596,0,-0.024701,0.173159,0.061043,0.025486,0.014748,0,0,0,0.051877,0.048117,0.053507,-0.166147,0.059311,0.030864,0,0.06573925,0,0,0,0.011122,-0.050159,0.012596,-0.023519,0.056784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/31/1997,0.00436,-0.033407,-0.052793,-0.063977,-0.080868,-0.039419,-0.033609,-0.054344,-0.042785,-0.049174,-0.064846,0,-0.080091,-0.084584,-0.027874,-0.043729,0.014507,0,0,0,-0.020959,-0.019484,-0.060234,-0.163108,-0.006728,-0.278762,0,-0.0326775,0,0,0,-0.00357,-0.188516,0.011036,-0.151856,-0.077677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/30/1997,0.004209,0.0463,0.017526,0.02533,0.029475,0.035587,0.038299,0.004722,0.009551,0.015366,0.013941,0,-0.019458,-0.010457,0.040881,0.019684,0.004605,0,0,0,0.045027,0.0753,0.015125,-0.18016,0.032679,-0.035088,0,0.01716335,0,0,0,0.001946,-0.12131,0.003145,-0.1116,-0.010739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/1997,0.004345,0.017152,0.01202,0.009079,0.058167,0.010106,0.020034,-0.018326,0.029555,0.036547,0.0364,0,-0.061401,-0.026804,0.029655,0.016383,0.010068,0,0,0,0.025532,0.038728,0.012817,-0.029595,0.032534,0.011133,0,0.0251939,0,0,0,0.00501,-0.060021,0.009129,-0.06375,0.00825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/1998,0.004413,0.01105,0.027702,0.039096,0.05367,0.025727,0.005165,0.031496,0.038926,0.041627,0.043354,0,0.078764,-0.042737,-0.014539,0.010723,0.012838,0,0,0,0.013565,-0.020387,0.021191,-0.254312,0.056428,-0.151931,0,0.0250311,0,0,0,0.011875,-0.03504,0.010052,-0.065943,0.04475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/1998,0.003979,0.072124,0.067482,0.070589,0.072258,0.076383,0.071539,0.093655,0.079212,0.078183,0.085219,0,0.004094,0.023541,0.06665,0.014881,-0.000753,0,0,0,0.099145,0.061656,0.068193,0.354225,0.060537,0.210399,0,0.0583032,0,0,0,-0.00116,0.215082,0.00199,0.142171,0.063611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
