"Adjusted Ending Value with Multiple and Unfunded",2/1/2021,"Venture Capital and Private Equity _NEW ",USD,GroupBy1,GroupBy2,GroupBy3,Investment,Commitment,"Unfunded Commitment",Funding,"Additional Fees",Cash,Stock,"Valuation Date","Reported Valuation",Adjustments,"Adjusted Valuation",IRR,TVPI
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital China Growth Fund VI LP","14,000,000","10,290,000","3,710,000",0,0,0,9/30/2020,"1,821,222","2,100,000","3,921,222",9.04,1.06
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital China Seed Fund I LP","2,000,000","240,000","1,760,000",0,0,0,9/30/2020,"1,540,510","200,000","1,740,510",-0.93,0.99
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital China Seed Fund II","2,000,000","1,700,000","300,000",0,0,0,9/30/2020,"92,013","200,000","292,013",-4.90,0.97
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital China Venture 2010","3,329,040","33,294","3,295,746",0,"1,975,701","7,590,829",9/30/2020,"10,153,275",0,"10,153,275",34.56,5.98
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital China Venture Fund IV, L.P.","4,000,000",0,"4,000,000",0,"2,166,652","1,582,952",9/30/2020,"7,895,296","-954,375","6,940,921",17.27,2.67
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital China Venture Fund V LP","6,111,111",0,"6,111,111",0,"40,647","1,603,939",9/30/2020,"10,524,551","-1,093,268","9,431,283",11.41,1.81
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital China Venture Fund VI LP","7,000,000","175,000","6,825,000",0,"474,302","264,429",9/30/2020,"8,661,544","-248,539","8,413,005",10.07,1.34
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital China Venture Fund VII LP","8,273,885","703,280","7,570,605",0,0,0,9/30/2020,"7,220,298","248,217","7,468,515",-0.82,0.99
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital China Venture Fund VIII LP","8,000,000","6,480,000","1,520,000",0,0,0,9/30/2020,"675,462","800,000","1,475,462",-4.71,0.97
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital Global Growth Fund II LP","25,980,255",0,"25,980,255",0,"58,720","11,212,322",9/30/2020,"72,823,246","-3,071,423","69,751,823",43.24,3.12
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital Global Growth Fund III China Annex Fund LP","3,248,173","2,582,297","665,876",0,0,0,9/30/2020,"876,716",0,"876,716",33.09,1.32
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital Global Growth Fund III US/India Annex Fund LP","3,248,173","2,614,779","633,394",0,0,0,,N/A,"633,394","633,394",0.00,1.00
,,,,"Kamehameha Schools - Financial Assets Division",,,"Sequoia Capital India Fund IV LP","4,993,932","98,463","4,895,469",0,"2,712,284",0,9/30/2020,"8,778,486","-170,577","8,607,909",18.69,2.31
